ids,0
cbtc_train_1,0.48105788
cbtc_train_10,0.5898744
cbtc_train_11,0.49707583
cbtc_train_12,0.61069715
cbtc_train_13,0.5786249
cbtc_train_14,0.51805955
cbtc_train_15,0.51049834
cbtc_train_16,0.53967375
cbtc_train_17,0.63687956
cbtc_train_18,0.6127713
cbtc_train_19,0.51182765
cbtc_train_2,0.49968448
cbtc_train_20,0.61475575
cbtc_train_21,0.5015105
cbtc_train_22,0.5376661
cbtc_train_23,0.44534686
cbtc_train_24,0.65287805
cbtc_train_25,0.5341772
cbtc_train_26,0.5884275
cbtc_train_27,0.5591864
cbtc_train_28,0.44896218
cbtc_train_29,0.50800616
cbtc_train_3,0.5897404
cbtc_train_30,0.60992175
cbtc_train_31,0.487092
cbtc_train_32,0.6511756
cbtc_train_4,0.5681525
cbtc_train_5,0.5218436
cbtc_train_6,0.5868912
cbtc_train_7,0.48887777
cbtc_train_8,0.56860703
cbtc_train_9,0.48351145
